,Name,Nationality,Current Rank,Previous Year Rank,Sport,Year,earnings ($ million),year_dt,rank_improve,c
0,MIKE TYSON,USA,1,120,BOXING,1990,28.6,1990,1,1
1,BUSTER DOUGLAS,USA,2,120,BOXING,1990,26.0,1990,1,1
2,SUGAR RAY LEONARD,USA,3,120,BOXING,1990,13.0,1990,1,1
3,AYRTON SENNA,BRAZIL,4,120,AUTO RACING,1990,10.0,1990,1,1
4,ALAIN PROST,FRANCE,5,120,AUTO RACING,1990,9.0,1990,1,1
5,JACK NICKLAUS,USA,6,120,GOLF,1990,8.6,1990,1,1
6,GREG NORMAN,AUSTRALIA,7,120,GOLF,1990,8.5,1990,1,1
7,MICHAEL JORDAN,USA,8,120,BASKETBALL,1990,8.1,1990,1,1
8,ARNOLD PALMER,USA,8,120,GOLF,1990,8.1,1990,1,1
9,EVANDER HOLYFIELD,USA,8,120,BOXING,1990,8.1,1990,1,1
10,EVANDER HOLYFIELD,USA,1,8,BOXING,1991,60.5,1991,1,1
11,MIKE TYSON,USA,2,1,BOXING,1991,31.5,1991,0,1
12,MICHAEL JORDAN,USA,3,8,BASKETBALL,1991,16.0,1991,1,1
13,GEORGE FOREMAN,USA,4,31,BOXING,1991,14.5,1991,1,1
14,AYRTON SENNA,BRAZIL,5,4,AUTO RACING,1991,13.0,1991,0,1
15,ALAIN PROST,FRANCE,6,5,AUTO RACING,1991,11.0,1991,0,1
16,"DONOVAN ""RAZOR"" RUDDOCK",CANADA,7,31,BOXING,1991,10.2,1991,1,1
17,ARNOLD PALMER,USA,8,8,GOLF,1991,9.3,1991,0,1
18,NIGEL MANSELL,UK,9,12,AUTO RACING,1991,9.0,1991,1,1
19,SUGAR RAY LEONARD,USA,10,6,GOLF,1991,8.5,1991,0,1
20,MICHAEL JORDAN,USA,1,3,BASKETBALL,1992,35.9,1992,1,1
21,EVANDER HOLYFIELD,USA,2,1,BOXING,1992,28.0,1992,0,1
22,AYRTON SENNA,BRAZIL,3,5,AUTO RACING,1992,22.0,1992,1,1
23,NIGEL MANSELL,UK,4,9,AUTO RACING,1992,14.5,1992,1,1
24,ARNOLD PALMER,USA,5,8,GOLF,1992,11.1,1992,1,1
25,ANDRE AGASSI,USA,6,17,TENNIS,1992,11.0,1992,1,1
26,JOE MONTANA,USA,7,13,NFL,1992,9.5,1992,1,1
27,SUGAR RAY LEONARD,USA,8,10,GOLF,1992,9.2,1992,1,1
28,JIM COURIER,USA,9,41,TENNIS,1992,9.0,1992,1,1
29,MONICA SELES,USA,10,12,TENNIS,1992,8.5,1992,1,1
30,MICHAEL JORDAN,USA,1,1,BASKETBALL,1993,36.0,1993,0,1
31,RIDDICK BOWE,USA,2,41,BOXING,1993,25.0,1993,1,1
32,AYRTON SENNA,BRAZIL,3,3,AUTO RACING,1993,18.5,1993,0,1
33,ALAIN PROST,FRANCE,4,41,AUTO RACING,1993,16.0,1993,1,1
34,GEORGE FOREMAN,USA,5,19,BOXING,1993,15.8,1993,1,1
35,SHAQUILLE O'NEAL,USA,6,41,NBA,1993,15.2,1993,1,1
36,LENNOX LEWIS,USA,7,41,BOXING,1993,15.0,1993,1,1
37,CECIL FIELDER,USA,8,40,BASEBALL,1993,12.7,1993,1,1
38,JIM COURIER,USA,9,9,TENNIS,1993,12.6,1993,0,1
39,JOE MONTANA,USA,10,7,NFL,1993,11.5,1993,0,1
40,MICHAEL JORDAN,USA,1,1,BASKETBALL,1994,30.0,1994,0,1
41,SHAQ O'NEAL,USA,2,6,BASKETBALL,1994,16.7,1994,1,1
42,JACK NICKLAUS,USA,3,13,GOLF,1994,14.8,1994,1,1
43,ARNOLD PALMER,USA,4,11,GOLF,1994,13.6,1994,1,1
44,GERHARD BERGER,AUSTRIA,5,30,AUTO RACING,1994,13.5,1994,1,1
45,WAYNE GRETZKY,CANADA,5,22,ICE HOCKEY,1994,13.5,1994,1,1
46,MICHAEL MOORER,USA,7,41,BOXING,1994,12.1,1994,1,1
47,EVANDER HOLYFIELD,USA,8,12,BOXING,1994,12.0,1994,1,1
48,ANDRE AGASSI,USA,9,20,TENNIS,1994,11.4,1994,1,1
49,NIGEL MANSELL,UK,10,19,AUTO RACING,1994,11.3,1994,1,1
50,MICHAEL JORDAN,USA,1,1,BASKETBALL,1995,43.9,1995,0,1
51,MIKE TYSON,USA,2,120,BOXING,1995,40.0,1995,1,1
52,DEION SANDERS,USA,3,38,AMERICAN FOOTBALL / BASEBALL,1995,22.5,1995,1,1
53,RIDDICK BOWE,USA,4,120,BOXING,1995,22.2,1995,1,1
